game,retriever,k,precision_at_k,coverage,n_questions
catan,random,1,0.0,0.0,32
catan,random,2,21.9,13.0,32
catan,random,3,21.9,13.0,32
catan,random,5,31.2,24.0,32
catan,random,7,37.5,27.1,32
catan,random,10,71.9,59.4,32
catan,tfidf,1,87.5,50.0,32
catan,tfidf,2,96.9,73.4,32
catan,tfidf,3,96.9,81.8,32
catan,tfidf,5,96.9,92.2,32
catan,tfidf,7,100.0,95.3,32
catan,tfidf,10,100.0,100.0,32
catan,dense,1,90.6,56.2,32
catan,dense,2,100.0,82.8,32
catan,dense,3,100.0,87.5,32
catan,dense,5,100.0,94.3,32
catan,dense,7,100.0,99.0,32
catan,dense,10,100.0,100.0,32
